ClienteCodigo,Potencial
0000528145,P4
0000245723,P2
0000514652,P4
0000492777,P3
0000472674,P4
0000534717,P2
0000458456,P4
0000501632,P4
0000407162,P2
0000438236,P4
0000237414,P2
0000446308,P4
0000530401,P2
0000525569,P3
0000391196,P3
0000235352,P2
0000380958,P4
0000230403,P2
0000496056,P1
0000488231,P4
0000265266,P4
0000484896,P4
0000477881,P4
0000522095,P4
0000391795,P4
0000534521,P3
0000533820,P4
0000427428,P4
0000276791,P2
0000534810,P4
0000267358,P4
0000456287,P3
0000384485,P3
0000479275,P4
0000474734,P2
0000517571,P4
0000521080,P4
0000521752,P3
0000526144,P2
0000485653,P2
0000466455,P1
0000515648,P2
0000525342,P2
0000525468,P3
0000429519,P4
0000515736,P3
0000500940,P4
0000426679,P2
